"","Comp_1","Comp_2","Comp_3","Comp_4","DMSO_1","DMSO_2","DMSO_3","DMSO_4"
"Label","Comp","Comp","Comp","Comp","DMSO","DMSO","DMSO","DMSO"
"C00003","12.89179","12.97972","12.83945","12.82971","13.45651","13.42262","13.53714","13.42071"
"C00005","7.921529","7.838709","7.738721","4.800597","5.259771","6.730167","7.466203","8.392033"
"C00008","11.22411","11.55124","11.41689","11.24350","11.80152","11.68807","11.68321","11.77124"
"C00015"," 8.469877"," 9.162446"," 9.307022"," 9.375226"," 9.981684","10.079877"," 9.621207"," 9.490657"
"C00016"," 9.715617"," 9.426358","10.069503"," 9.611499","10.352349","10.463457","10.547677","10.647052"
"C00019","12.61712","12.31482","12.13821","12.28491","12.31671","12.38914","12.83318","12.81823"
"C00020","10.40545","10.43586","10.39823","10.32981","10.92388","10.95971","10.99496","11.17187"
"C00029","12.52934","12.53408","12.66489","12.51146","13.17362","13.24329","13.44424","13.53277"
"C00043","12.04732","11.99730","12.11727","12.04905","12.38719","12.43680","12.26237","12.50702"
"C00051","14.39404","14.32119","13.97106","13.91646","15.44042","14.77179","15.10170","15.52013"
"C00052","11.93282","11.95480","11.97642","11.94894","12.32048","12.35672","12.16965","12.42824"
"C00055","11.65092","11.67318","11.41971","11.31515","11.79909","12.15544","11.92728","11.63152"
"C00061","8.816885","8.178940","7.792921","6.882313","5.963937","8.726690","7.818909","7.785501"
"C00062","11.01847","11.26197","11.17578","11.18301","11.37576","11.29898","11.12325","11.70648"
"C00082","13.46778","13.49869","13.61782","13.28547","13.34261","13.39256","13.30901","13.29026"
"C00103","11.10166","11.59952","11.69567","11.66776","12.09284","12.03538","12.39953","12.75882"
"C00105","13.88385","14.01577","13.87798","13.81272","14.18109","14.26013","14.22591","14.21173"
"C00120","14.00539","14.60552","14.56384","14.50470","13.66989","13.66390","13.93761","13.92697"
"C00127","16.50338","16.65363","16.34546","16.29074","17.54738","17.58846","17.76061","17.64417"
"C00144","13.54093","13.97694","13.72600","13.49328","14.03377","14.41360","14.13597","13.85826"
"C00147","7.854787","7.939538","7.949090","7.841986","9.409887","9.023346","9.471357","9.292852"
"C00157","11.15140","12.79332","12.48278","11.23926","11.30572","13.29978","12.63044","14.11979"
"C00167","11.89194","11.97672","12.11729","11.89038","12.54456","12.68210","12.85452","12.92866"
"C00170","12.93218","12.88018","13.04045","12.95456","13.99008","13.72610","13.79899","14.00514"
"C00199","8.688339","8.228598","7.314876","8.293296","8.117224","8.767059","7.700129","7.595940"
"C00242","11.90116","12.04793","11.79341","11.43850","12.25822","12.68722","12.93644","11.78646"
"C00262","13.40179","13.02117","13.10864","13.11241","13.91349","14.08656","13.84037","13.72002"
"C00294","10.811589"," 9.314878"," 9.078690"," 8.879335"," 6.576932"," 9.396737"," 9.626186"," 6.217686"
"C00299","14.48583","14.10779","13.88083","14.20227","14.74900","14.72797","14.20808","14.30920"
"C00307","6.392648","7.822704","8.002243","7.887575","5.933189","5.890769","5.600507","5.639426"
"C00319","13.25493","13.30295","13.35238","13.38334","13.57300","13.51372","13.72390","13.81370"
"C00325","8.927954","9.082470","9.011145","9.147965","9.443571","9.496985","9.405678","9.648621"
"C00350","11.05080","11.52414","11.23711","11.40103","11.83935","12.01187","11.47983","12.33877"
"C00360"," 9.761095"," 9.634044"," 9.382022"," 9.538743","10.653757","10.362000","10.164286","10.406989"
"C00362","11.06811","12.00190","11.85164","11.59760","11.66613","11.85065","11.80169","12.14885"
"C00364","12.14949","12.19157","12.11424","12.24474","12.63735","12.42804","12.34905","12.15196"
"C00378","12.45772","12.18169","12.36067","12.04797","12.81041","12.95537","13.07415","13.06592"
"C00387","13.62190","12.77220","12.61390","13.08425","13.67747","13.45540","12.88004","12.84926"
"C00463","10.39860","10.69707","10.51211","10.39840","10.41433","10.58740","10.53789","10.83040"
"C00468","13.38038","13.16804","13.43962","13.34240","11.21756","11.22759","11.11908","11.09391"
"C00487","11.90779","12.02696","12.30623","12.13846","13.35115","13.13606","13.22225","13.07713"
"C00491"," 8.888101"," 8.898282"," 9.392551"," 9.157972"," 8.876492"," 8.875657"," 9.833261","10.594376"
"C00550","12.25292","11.69571","11.79856","12.40283","11.68087","11.66473","11.60412","12.08680"
"C00570","9.520599","9.711787","9.825831","9.746458","5.967930","5.977961","5.869448","7.806771"
"C00588","17.67304","17.57303","17.71739","17.59271","18.27288","18.36606","18.33719","18.41536"
"C00612","13.18749","13.75210","13.51935","13.52818","13.80586","14.04322","13.51669","13.95294"
"C00670","17.28847","17.22663","17.36191","17.23878","17.61732","17.48808","17.57744","17.93318"
"C00836","12.39162","12.31763","12.38765","12.38574","12.46724","12.27308","12.43484","12.58122"
"C00864","13.95086","13.87079","14.04097","13.75966","14.15355","13.98645","14.45995","14.38195"
"C00946","13.25239","13.78432","13.77443","13.48669","13.83889","14.10904","14.31751","14.23419"
"C01586","12.01903","12.08497","12.12968","12.15496","11.85294","11.96249","12.09886","12.38971"
"C01657","8.805587","8.221246","8.260378","8.641508","6.276409","6.114999","6.011167","7.122532"
"C02301","10.045731","10.129897","10.048440"," 9.968936","10.453724","10.416625","10.366028","10.422536"
"C02305","14.21527","14.07263","14.10030","13.95825","14.57587","14.80646","15.12712","14.93275"
"C02494","10.214593","10.339529","10.321709","10.297198","10.342785"," 9.917496","10.339833","10.425124"
"C02567","12.18150","11.84280","11.42807","10.90860","11.62369","11.49504","12.34625","12.08859"
"C02571","8.703727","8.713722","8.993169","9.099590","7.192411","7.202441","7.093928","7.068758"
"C02862","15.83916","15.56559","15.49139","15.55999","14.55116","14.44462","14.64868","14.60355"
"C02990","11.84976","12.14950","12.40163","12.12659","10.57592","10.34270","11.13466","10.88519"
"C03017"," 9.134884"," 8.937985"," 8.727327"," 8.883809","10.243994","10.130810","10.306522","10.267476"
"C03546"," 9.828821","10.225214","10.485123","10.488823","10.932917","10.638029","10.810195","11.356421"
"C03672","8.795712","7.777515","7.955594","8.241933","5.841858","5.680449","5.576617","5.482461"
"C03742","8.717893","8.724613","9.058657","7.212412","7.895080","8.238658","8.704314","8.833989"
"C03794","8.058131","8.012547","7.975523","7.877413","8.561475","8.744459","8.893745","9.267396"
"C03889","8.563755","8.246950","8.523486","8.403113","7.598240","8.551962","8.822646","3.832997"
"C04100","10.158145"," 9.813685","10.614559","10.513194","10.981034","10.564809","11.072598","11.474180"
"C04230","15.07642","15.03401","15.12467","15.29799","16.01680","15.91399","15.77135","15.79655"
"C05282","10.22797","10.44260","10.47902","10.38459","10.60148","11.06524","10.77019","11.07254"
"C05284","10.890887","10.407857","10.877453","10.887243"," 8.915532"," 8.873112"," 8.582850"," 8.621769"
"C05382"," 9.414078"," 9.533989"," 9.527827"," 9.731357","10.083897","10.041637"," 9.577644","10.263072"
"C05526","11.54816","11.76823","11.89893","11.75077","11.88815","12.18570","12.64421","12.90494"
"C05551","10.070974","10.097488","10.057605"," 9.788098"," 9.606044"," 9.656195"," 9.989836"," 9.713382"
"C05635","10.209400","10.313967","10.323820","10.267702","10.048994","10.134602"," 9.535216"," 9.930480"
"C06525","10.372047","10.387203","10.409039","10.006425"," 9.915777","10.213686","10.427215","10.272459"
"C07005"," 9.800685"," 8.855372"," 9.579697"," 8.942424","10.451228"," 9.902931","10.313506"," 8.848634"
"C07074","11.774074","11.801595","11.743944","11.810642"," 9.732410"," 9.689991"," 9.399729"," 9.438648"
"C07471"," 9.604350"," 9.370222"," 9.514647"," 9.334756"," 9.925792"," 9.732471","10.246678","10.878666"
"C08261","12.09646","11.91951","12.01888","11.81939","11.92624","12.18069","11.84915","11.52183"
"C09633","13.44045","13.25389","13.42909","13.35650","11.28671","11.29674","11.18823","11.16306"
"C10598"," 6.463281"," 6.418173"," 6.535441"," 6.393843","10.177144"," 9.482192"," 9.188991"," 9.718695"
"C13916","5.568596","8.767507","8.682134","9.391640","6.366952","9.034146","8.769890","9.109676"
"C14550"," 8.876577"," 8.804035"," 8.962447"," 9.027330","10.138617","10.039272"," 9.718287"," 9.675310"
"C14635","12.217085","12.232632","12.408140","12.351262","10.216215","10.173796"," 9.883533"," 9.922453"
"C17925","10.151229","10.166056","10.072842"," 9.942386","10.195457"," 9.963750","10.311920","10.381359"
"C19434","8.207374","8.733439","8.582168","8.225649","6.918894","8.466213","9.056714","8.167153"
"C19463","8.675303","8.812382","8.543060","8.914858","8.955377","8.725058","8.954320","9.010919"
"C19670"," 9.309351"," 9.555604"," 8.769765"," 8.266715","11.108773","11.104582","11.376892","11.252286"
"C20387","10.37923","10.22323","10.10821","10.14772","10.73966","10.65674","10.69300","10.74858"
"C21484","13.06874","12.94158","13.25774","13.19772","14.37460","14.21186","14.56208","14.79660"
