"","mz","p.value","t.score","mode"
"1",331.03027,4.77323537133366e-08,55.9218648359776,"positive"
"2",266.05663,6.18736384269296e-07,22.3550926007993,"positive"
"3",343.03378,1.52008173507995e-06,39.1984887254401,"positive"
"4",81.03359,1.93383100718022e-06,38.7418053717909,"positive"
"5",343.03385,2.99184611040695e-06,33.3998871837174,"positive"
"6",550.34095,6.13607497856454e-06,-15.034781564709,"positive"
"7",423.00038,1.1661632142504e-05,30.2126900844422,"positive"
"8",331.03585,1.37990886554068e-05,13.2096360317927,"positive"
"9",602.07903,6.58544028722672e-05,22.8058467062917,"positive"
"10",343.03402,7.80282452246698e-05,17.7606864345229,"positive"
"11",365.01576,8.02686868215824e-05,17.9035561571292,"positive"
"12",534.884,9.6144365700743e-05,-9.17794857797318,"negative"
"13",343.03376,0.000108249551546413,17.6274373553791,"positive"
"14",462.28983,0.000112929564071337,-11.2706254275552,"positive"
"15",518.32087,0.000123602651586887,20.5938571081336,"positive"
"16",365.01612,0.000127008145174604,17.6882066775045,"positive"
"17",626.07981,0.000171628887495173,19.0593742834921,"positive"
"18",361.03516,0.00017278648290301,19.2495538379098,"positive"
"19",229.01191,0.000198959426241118,-8.25078186244388,"negative"
"20",506.31363,0.000205426330796773,-7.9886610384342,"positive"
"21",192.06551,0.000245085076623233,-7.7365979040263,"positive"
"22",535.15416,0.000303436618158668,-7.44267001269461,"negative"
"23",260.18533,0.000460947422102395,-6.89137267987793,"positive"
"24",640.46414,0.000770166999388197,-7.58649988096381,"positive"
"25",160.04259,0.00133987005978209,-5.65642967839918,"positive"
"26",353.11671,0.00168057492708441,-5.7633938483124,"positive"
"27",409.61176,0.00175411007987595,-5.65812725593385,"positive"
"28",176.07067,0.00176951031922385,-5.40737566313232,"positive"
"29",400.34217,0.0018240217205434,-5.51513849398753,"positive"
"30",160.07575,0.00187434865858754,-5.31658037837113,"positive"
"31",270.91337,0.00187570223656737,-6.56356158883472,"negative"
"32",240.95252,0.00187946312269887,-5.42348531792799,"negative"
"33",307.08347,0.00194297568738827,-6.75761126882661,"positive"
"34",160.04273,0.0019528620464359,-5.85339123178008,"positive"
"35",684.45522,0.00215567246129889,-5.47440468186807,"negative"
"36",575.12951,0.00219455508981674,-5.18071527504233,"positive"
"37",305.13178,0.00225187886504129,-5.27907178986882,"positive"
"38",146.06019,0.00231156901243838,-5.41285105837505,"positive"
"39",156.10199,0.00241032578759665,-5.07922650201605,"positive"
"40",354.16589,0.00242408212685574,-5.7665929605677,"positive"
"41",178.99277,0.0024624934370851,-5.7582463442026,"positive"
"42",205.09705,0.00247404457133456,-6.8981958242285,"positive"
"43",341.01947,0.00254518242023485,5.89451488835371,"negative"
"44",302.04922,0.00259828875004221,-4.95263945507573,"negative"
"45",171.05981,0.00279336270338986,-5.04090684112291,"negative"
"46",653.18048,0.00279799650971946,-9.01681091358313,"negative"
"47",352.94497,0.00285971193951242,-5.72379316314099,"negative"
"48",592.53913,0.0028977932302396,-5.81456108713771,"negative"
"49",117.01935,0.00298257101861446,-5.50559774080899,"negative"
"50",283.94503,0.00302684700130174,-4.91758457717241,"negative"
"51",288.21663,0.00306547811670524,-4.88163473300946,"positive"
"52",480.77729,0.00312326719927305,-5.02878709404358,"positive"
"53",335.106,0.00345224244325541,-4.66593745579255,"positive"
"54",240.03239,0.00364912124049115,-6.1717988131637,"positive"
"55",501.26724,0.00372254679728771,4.71843842485274,"positive"
"56",418.26442,0.00372343989780132,-4.98634692807021,"positive"
"57",137.04609,0.0039281748925011,-4.71040316617911,"positive"
"58",611.1446,0.00393439551699956,-5.16229871928345,"negative"
"59",215.00193,0.00440811782627328,-4.47854087881706,"negative"
"60",685.17969,0.00451248767735693,-4.47306885147503,"positive"
"61",289.10142,0.00459962825559278,-5.07334037299715,"negative"
"62",173.08077,0.00465315828375772,-4.38381254449907,"positive"
"63",343.0201,0.00483921477905123,-4.62209592126359,"negative"
"64",268.10393,0.00491743329473611,-4.54175428588731,"positive"
"65",176.07058,0.00503794160359219,-4.44888493658499,"positive"
"66",275.5674,0.00507760922709786,-4.30274521999793,"positive"
"67",330.04428,0.00516060676261624,-5.99687192588093,"negative"
"68",120.9662,0.00529599384350606,-4.27652515513151,"positive"
"69",338.92955,0.00542058048490169,-4.48727421157977,"negative"
"70",372.31094,0.00560503290514151,-5.24075333987147,"positive"
"71",613.15908,0.00588411462961297,-4.71830136397274,"positive"
"72",171.00642,0.00604833942123454,-4.84936806513044,"negative"
"73",611.14485,0.00607198831582358,-4.30175649250806,"negative"
"74",813.06479,0.00612199703128193,-6.90048032335041,"negative"
"75",160.04259,0.00614392631649347,-4.131012577823,"positive"
"76",455.22521,0.00617469235690125,-4.2746091924742,"positive"
"77",367.13942,0.00635460320031282,-4.17135976129616,"positive"
"78",328.87205,0.00641539613051964,-4.89087648597096,"negative"
"79",160.13317,0.00665730562272176,-4.25585777462221,"positive"
"80",260.18539,0.00681086280542325,-4.41534663415773,"positive"
"81",332.89426,0.00703843748799431,-4.0121327609711,"positive"
"82",137.04574,0.00708565177666413,-4.82028199757876,"positive"
"83",419.75353,0.0074159743496793,3.97236434331619,"positive"
"84",402.99506,0.00758775434955475,-5.01044276413525,"negative"
"85",528.84824,0.00762568113543056,-4.42360263233132,"positive"
"86",144.04561,0.00771279085531897,-6.36502039286713,"negative"
"87",399.14451,0.0077754238059027,-4.00692372814254,"positive"
"88",362.92781,0.00781479593820499,-4.16609950192269,"negative"
"89",654.0965,0.00799621835408209,5.73679218254973,"negative"
"90",573.07805,0.00800169503991194,-4.56532113165162,"negative"
"91",261.14434,0.00807209091291766,-4.13312581786992,"positive"
"92",156.10186,0.00833579577311528,-3.86399858234794,"positive"
"93",132.10188,0.00844572847748504,-4.7845532921565,"positive"
"94",482.08007,0.00848903482331625,5.97117624672682,"negative"
"95",645.80174,0.00872150261635335,-3.86847951291343,"positive"
"96",452.12346,0.00884570317975483,-4.58053749514883,"positive"
"97",371.05924,0.0088712195091003,-3.86604682232986,"negative"
"98",298.99249,0.00889264253802922,-3.82256012214536,"positive"
"99",184.07343,0.00924811391798123,-3.89045232977657,"positive"
"100",598.06815,0.00931761967639356,-3.767488083124,"positive"
