"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C03017","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C07005","Flunisolide","HMDB0014326","82153","C07005","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO","1"
"C00062","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C00003","NAD","HMDB0000902","5892","C00003","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"C00307","Citicoline","HMDB0001413","13805","C00307","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","C00127","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00015","Uridine 5'-diphosphate","HMDB0000295","6031","C00015","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C02494","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"C20387","Biotin sulfone","HMDB0004818","21252323","C20387","[H][C@]12CS(=O)(=O)[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"C01586","Hippuric acid","HMDB0000714","464","C01586","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"C02301","O-Acylcarnitine",NA,"5355","C02301",NA,"1"
"C11430","9-Hydroxyphenanthrene","HMDB0059801","10229","C11430","OC1=CC2=CC=CC=C2C2=CC=CC=C12","1"
"C16207","Anthraquinone","HMDB0248468","6780","C16207","O=C1C2=CC=CC=C2C(=O)C2=CC=CC=C12","1"
"C22599","NA","NA","NA","NA","NA","0"
"C00319","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"C00836","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"C02990","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C00199","D-Ribulose 5-phosphate","HMDB0000618","439184","C00199","OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"C05382","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","C05382","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C00362","2'-Deoxyguanosine 5'-monophosphate","HMDB0001044","65059","C00362","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1","1"
"C03546","D-myo-Inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"C00052","Uridine diphosphategalactose","HMDB0000302","18068","C00052","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O","1"
"C00167","Uridine diphosphate glucuronic acid","HMDB0000935","17473","C00167","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00262","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"C00364","5-Thymidylic acid","HMDB0001227","9700","C00364","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00158","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C03794","Adenylsuccinic acid","HMDB0000536","447145","C03794","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O","1"
"C00360","Deoxyadenosine monophosphate","HMDB0000905","12599","C00360","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"C10438","Cinnamic acid","HMDB0000567","5372954","C10438","OC(=O)\C=C/C1=CC=CC=C1","1"
"C00157","Phosphatidylcholine",NA,NA,"C00157",NA,"1"
"C01495","3-Hydroxyflavone","HMDB0031816","11349","C01495","OC1=C(OC2=CC=CC=C2C1=O)C1=CC=CC=C1","1"
"C00242","Guanine","HMDB0000132","764","C00242","NC1=NC(=O)C2=C(N1)N=CN2","1"
"C02862","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"C00864","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"C02571","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C00029","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00147","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"C00284","Edetic Acid","HMDB0015109","6049","C00284","OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","1"
"C02305","Phosphocreatine","HMDB0001511","587","C02305","CN(CC(O)=O)C(=N)NP(O)(O)=O","1"
"C00570","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C05526","S-Glutathionyl-L-cysteine","METPA0607",NA,"C05526",NA,"1"
"C00946","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
"C05282","gamma-Glutamylglutamic acid","HMDB0011737","92865","C05282","N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"C00055","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00043","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00103","Glucose 1-phosphate","HMDB0001586","65533","C00103","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
